#File format: word,nPoint,yPoint,mPoint,mcPoint
#Natsuki's words
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1
testn,3,1,1,1

#Yuri's words
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1
testy,1,3,1,1

# MC Words
math,1,1,1,3
write,1,1,1,3
cool,1,1,1,3
good,1,1,1,3
right,1,1,1,3
spook,1,1,1,3
dull,1,1,1,3
foul,1,1,1,3
scary,1,1,1,3
sqwash,1,1,1,3
amaze,1,1,1,3
scrape,1,1,1,3
scrap,1,1,1,3
shush,1,1,1,3
tight,1,1,1,3
crazy,1,1,1,3
done,1,1,1,3
bad,1,1,1,3
spice,1,1,1,3
nice,1,1,1,3
